ID,Grade,Race,SPED,Q1_Raw_Score,Q1_%Corr,Q1_Met_Level,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level,Q3_Raw_Score,Q3_%Corr,Q3_Met_Level
524783,8,H,Y,3,30,Not Met,12.0,25.0,Not Met,12,25,Not Met
498325,8,W,,3,30,Not Met,15.0,31.0,Not Met,13,27,Not Met
560501,6,H,,3,30,Not Met,7.0,16.0,Not Met,14,35,Appr
503749,6,H,,3,30,Not Met,15.0,35.0,Appr,16,40,Appr
559626,6,H,,3,30,Not Met,11.0,26.0,Not Met,9,23,Not Met
526058,6,H,Y,3,30,Not Met,13.0,30.0,Not Met,9,23,Not Met
558857,7,H,,3,30,Not Met,7.0,15.0,Not Met,13,28,Not Met
557379,8,H,,3,30,Not Met,13.0,27.0,Not Met,17,35,Not Met
559806,7,W,,2,20,Not Met,12.0,26.0,Not Met,13,28,Not Met
554351,8,W,Y,2,20,Not Met,32.0,67.0,Meets,24,50,Appr
503706,6,H,,2,20,Not Met,10.0,23.0,Not Met,10,25,Not Met
497139,6,H,Y,2,20,Not Met,12.0,28.0,Not Met,6,15,Not Met
559650,6,H,,2,20,Not Met,15.0,35.0,Appr,14,35,Appr
501779,6,H,,2,20,Not Met,35.0,81.0,Masters,34,85,Masters
503836,7,H,,2,20,Not Met,15.0,33.0,Not Met,9,20,Not Met
